size,type,algorithm,time_us,comparisons
1700,prefix,string_quicksort,739,28793
1700,prefix,string_mergesort,2046,13746
1700,prefix,msd_radix,2741,0
1700,prefix,msd_radix_switch,2268,6928
1800,prefix,quicksort,5719,478289
1800,prefix,mergesort,2969,144411
1800,prefix,string_quicksort,821,32135
1800,prefix,string_mergesort,2150,14574
1800,prefix,msd_radix,2992,0
1800,prefix,msd_radix_switch,2402,7183
1900,prefix,quicksort,6331,526776
1900,prefix,mergesort,3181,153714
1900,prefix,string_quicksort,808,32547
1900,prefix,string_mergesort,2285,15397
1900,prefix,msd_radix,3103,0
1900,prefix,msd_radix_switch,2579,7854
2000,prefix,quicksort,6572,549718
2000,prefix,mergesort,3386,163301
2000,prefix,string_quicksort,895,36135
2000,prefix,string_mergesort,2468,16223
2000,prefix,msd_radix,3338,0
2000,prefix,msd_radix_switch,2759,8421
2100,prefix,quicksort,6922,574463
2100,prefix,mergesort,3556,172699
2100,prefix,string_quicksort,940,37411
2100,prefix,string_mergesort,2562,17045
2100,prefix,msd_radix,3485,0
2100,prefix,msd_radix_switch,2849,9252
2200,prefix,quicksort,7336,611346
2200,prefix,mergesort,3861,182563
2200,prefix,string_quicksort,972,39543
2200,prefix,string_mergesort,2756,17879
2200,prefix,msd_radix,3884,0
2200,prefix,msd_radix_switch,3104,9666
2300,prefix,quicksort,7917,636270
2300,prefix,mergesort,4042,191957
2300,prefix,string_quicksort,1061,42074
2300,prefix,string_mergesort,3023,18717
2300,prefix,msd_radix,4008,0
2300,prefix,msd_radix_switch,3159,10131
2400,prefix,quicksort,8245,663483
2400,prefix,mergesort,4241,201921
2400,prefix,string_quicksort,1155,44019
2400,prefix,string_mergesort,3053,19555
2400,prefix,msd_radix,4461,0
2400,prefix,msd_radix_switch,3345,10244
2500,prefix,quicksort,8766,709436
2500,prefix,mergesort,4425,211641
2500,prefix,string_quicksort,1170,44539
2500,prefix,string_mergesort,3227,20395
2500,prefix,msd_radix,4431,0
2500,prefix,msd_radix_switch,3646,10816
2600,prefix,quicksort,9284,717531
2600,prefix,mergesort,4850,221469
2600,prefix,string_quicksort,1283,49606
2600,prefix,string_mergesort,3499,21230
2600,prefix,msd_radix,4731,0
2600,prefix,msd_radix_switch,3835,11288
2700,prefix,quicksort,9998,762344
2700,prefix,mergesort,5130,231416
2700,prefix,string_quicksort,1311,48763
2700,prefix,string_mergesort,3649,22061
2700,prefix,msd_radix,4878,0
2700,prefix,msd_radix_switch,3975,11546
2800,prefix,quicksort,10272,794344
2800,prefix,mergesort,5300,241492
2800,prefix,string_quicksort,1343,50698
2800,prefix,string_mergesort,3906,22901
2800,prefix,msd_radix,5258,0
2800,prefix,msd_radix_switch,4200,11467
2900,prefix,quicksort,10593,824319
2900,prefix,mergesort,5501,251207
2900,prefix,string_quicksort,1394,51984
2900,prefix,string_mergesort,4074,23744
2900,prefix,msd_radix,5409,0
2900,prefix,msd_radix_switch,4280,11812
3000,prefix,quicksort,11081,859045
3000,prefix,mergesort,5795,261339
3000,prefix,string_quicksort,1430,53380
3000,prefix,string_mergesort,4126,24583
3000,prefix,msd_radix,5494,0
3000,prefix,msd_radix_switch,4407,11960
